,id,Paid_date,Description,Paid_amount,Other_info,Bank_type,paystatus_fk_id,approved_date,Is_disbursed
12,4156,2024-11-29,   BY TRANSFER-NEFT*SMBC0000002*DOR1545621.0001*ADANI SOLAR ENERG--TRANSFER FROM 4698184044307 / ,25640.0,,SBI,13842,2024-12-02 11:54:16.539084,False
13,4157,2024-11-29,   BY TRANSFER-NEFT*HDFC0000240*N334243423217449*TATA POWER RENEW--TRANSFER FROM 4697238044306 / ,25387.0,,SBI,13848,2024-12-02 11:54:16.554692,False
14,4158,2024-11-29,   BY TRANSFER-NEFT*HDFC0000240*N334243423217448*TATA POWER RENEW--TRANSFER FROM 4697237044307 / ,21056.0,,SBI,13847,2024-12-02 11:54:16.570323,False
15,4159,2024-11-29, BY TRANSFER NEFT/HDFC/N334243421695533  /GRT JEWELLER/ TRANSFER FROM 94961000123,2760.0,,IB,13802,2024-12-02 11:54:16.585935,False
16,4160,2024-11-29, BY TRANSFER NEFT/ICIC/SGBO291124002790  /AZURE POWER / TRANSFER FROM 94967000127,7418.0,,IB,13711,2024-12-02 11:54:16.585935,False
17,4161,2024-11-29, BY TRANSFER NEFT/HDFC/N334243421805094  /CMS ESCROW N/ TRANSFER FROM 94959000126,5816.0,,IB,13789,2024-12-02 11:54:16.601567,False
18,4162,2024-11-29, BY TRANSFER NEFT/INDB/INDBN29119791224  /ATSEOPL O M / TRANSFER FROM 94934000125,6140.0,,IB,13717,2024-12-02 11:54:16.601567,False
19,4163,2024-11-29, BY TRANSFER NEFT/INDB/INDBN29119791217  /ATSEOPL O M / TRANSFER FROM 94934000125,5959.0,,IB,13790,2024-12-02 11:54:16.601567,False
20,4164,2024-11-29, BY TRANSFER NEFT/BARB/BARBY24334598251  /ADYAH SOLAR / TRANSFER FROM 97165000127,9719.0,,IB,13720,2024-12-02 11:54:16.632831,False
21,4165,2024-11-29, BY TRANSFER NEFT/FDRL/FDRLH24334579237  /AASPL O M EX/ TRANSFER FROM 97168000124,1223.0,,IB,13794,2024-12-02 11:54:16.695329,False
22,4166,2024-11-28, BY TRANSFER NEFT/ICIC/SGBO281124008125  /AZURE POWER / TRANSFER FROM 97160000121,6174.0,,IB,13718,2024-12-02 11:54:16.726556,False
23,4167,2024-11-28,   BY TRANSFER-NEFT*BARB0DBNAGA*BARBW24333447799*MANAGING DIERCTO--TRANSFER FROM 4698188044303 / ,3494.0,,SBI,13809,2024-12-02 11:54:16.742180,False
24,4168,2024-11-28, BY TRANSFER NEFT/KKBK/CMS3332466716241  /LANCO KONDAP/ TRANSFER FROM 97168000124 DEBIT SWEEP TO ACCT NO : 00000007920640615,32800.0,,IB,13737,2024-12-02 11:54:16.757803,False
25,4169,2024-11-28, BY TRANSFER NEFT/BOTM/BTOM243339334133  /GREEN INFRA / TRANSFER FROM 94934000125,3588.0,,IB,13801,2024-12-02 11:54:16.804673,False
26,4170,2024-11-27, BY TRANSFER NEFT/UBIN/001751851771      /IRPL CONSTRU/ TRANSFER FROM 97161000121 DEBIT SWEEP TO ACCT NO : 00000007919611474,15752.0,,IB,13731,2024-12-02 11:54:16.804673,False
27,4171,2024-11-27,   BY TRANSFER-NEFT*ICIC0002451*000154427282*SEIL ENERGY INDIA LI--TRANSFER FROM 4697182044307 / ,95600.0,,SBI,13772,2024-12-02 11:54:16.820289,False
28,4172,2024-11-27,   BY TRANSFER-CMP MEENAKSHI ENERGY LIMITED--CMP00000000980474454AOTM549269               TRANSFER FROM 42300928140                         MEENAKSHI ENERGY LIMIT / ,35877.0,,SBI,13597,2024-12-02 11:54:16.835915,False
29,4173,2024-11-27,   BY TRANSFER-CMP MEENAKSHI ENERGY LIMITED--CMP00000000980474454AOTM549269               TRANSFER FROM 42300928140                         MEENAKSHI ENERGY LIMIT / ,22347.0,,SBI,13667,2024-12-02 11:54:16.835915,False
30,4174,2024-11-27,   BY TRANSFER-CMP MEENAKSHI ENERGY LIMITED--CMP00000000980474454AOTM549269               TRANSFER FROM 42300928140                         MEENAKSHI ENERGY LIMIT / ,39352.0,,SBI,13738,2024-12-02 11:54:16.851539,False
31,4175,2024-11-26,   BY TRANSFER-NEFT*UTIB0001609*AXOEA33136288442*ATHENA KARNAL SO--TRANSFER FROM 4697200044308 / ,10988.0,,SBI,13712,2024-12-02 11:54:17.429667,False
32,4176,2024-11-26,   BY TRANSFER-NEFT*UTIB0001609*AXOEA33136396972*ATHENA HISAR SOL--TRANSFER FROM 4697249044303 / ,7566.0,,SBI,13713,2024-12-02 11:54:17.898468,False
33,4177,2024-11-26,   BY TRANSFER-NEFT*UTIB0001609*AXOEA33136507953*ATHENA BHIWADI S--TRANSFER FROM 4697186044303 / ,7707.0,,SBI,13714,2024-12-02 11:54:18.418607,False
34,4178,2024-11-26,   BY TRANSFER-NEFT*ICIC0SF0002*HS92433165434858*AVAADA SOLARISE--TRANSFER FROM 4697210044307 / ,14649.0,,SBI,13719,2024-12-02 11:54:19.434287,False
35,4179,2024-11-26,   BY TRANSFER-NEFT*HDFC0000240*N331243417024023*TATA POWER RENEW--TRANSFER FROM 4697249044303 / ,18282.0,,SBI,13774,2024-12-02 11:54:22.825829,False
36,4180,2024-11-26,   BY TRANSFER-NEFT*HDFC0000240*N331243417024056*TATA POWER RENEW--TRANSFER FROM 4697248044304 / ,26467.0,,SBI,13775,2024-12-02 11:54:22.841451,False
37,4181,2024-11-26, BY TRANSFER NEFT/ICIC/HS92433165444030  /AZURE POWER / TRANSFER FROM 97168000124,5852.0,,IB,13641,2024-12-02 11:54:22.950814,False
38,4182,2024-11-26, BY TRANSFER NEFT/FDRL/FDRLH24331740479  /AASPL O M EX/ TRANSFER FROM 97168000124,2411.0,,IB,13721,2024-12-02 11:57:08.957484,False
39,4183,2024-11-26,   BY TRANSFER-NEFT*DBSS0IN0811*0811OP4145063451*FORTUM FINNSURYA--TRANSFER FROM 4697177044304 / ,14203.0,,SBI,13726,2024-12-02 11:57:09.066848,False
40,4184,2024-11-26, BY TRANSFER NEFT/ICIC/000154379934      /AZURE POWER / TRANSFER FROM 97161000121,5041.0,,IB,13648,2024-12-02 11:57:09.082472,False
41,4185,2024-11-25,   BY TRANSFER-NEFT*BARC0INBBIR*001ONCU243300020*PARAMPUJYA SOLAR--TRANSFER FROM 4697225044301 / ,20310.0,,SBI,13761,2024-12-02 11:57:09.082472,False
42,4186,2024-11-25,   BY TRANSFER-VENDOR PAYMENT - RECAP704101124--TRANSFER FROM 42987716836                         ADANI SOLAR ENERGY AP / ,10894.0,,SBI,13770,2024-12-02 11:57:09.098098,False
43,4187,2024-11-25,   BY TRANSFER-TRANSFER FROM--TRANSFER FROM 41560770420                         AVAADA SOLAR ENERGY PR / ,5171.0,,SBI,13715,2024-12-02 11:57:09.113738,False
44,4188,2024-11-25,   BY TRANSFER-NEFT*SMBC0000002*DOR1539436.0001*ADANI SOLAR ENERG--TRANSFER FROM 4698166044309 / ,24915.0,,SBI,13769,2024-12-02 11:57:09.160613,False
45,4189,2024-11-25, BY TRANSFER NEFT/UTIB/AXOEA33030221678  /AYANA RENEWA/ TRANSFER FROM 97166000126,264.0,,IB,13722,2024-12-02 11:57:09.176242,False
